ID_REF,GSM1684096,GSM1684098,GSM1684100,GSM1684102,GSM1684104,GSM1684095,GSM1684097,GSM1684099,GSM1684101,GSM1684103
ILMN_3304072,106.405,106.865,96.4136,109.303,109.431,100.636,103.024,101.357,124.594,105.47
ILMN_3304086,106.435,108.546,107.345,95.7636,103.853,119.305,109.469,107.291,107.673,94.8633
ILMN_3304092,139.816,100.849,97.0055,127.807,109.58,102.593,118.288,125.29,119.478,90.0783
ILMN_3304111,8044.51,3669.03,2895.75,2408.65,6775.94,8236.63,4377.35,5751.57,2597.46,7921.35
ILMN_3304120,96.7473,103.476,89.8267,93.8777,92.221,88.1089,86.3525,98.0012,104.717,99.0244
ILMN_3304130,2923.39,2824.29,4296.3,5006.95,2581.6,3094.88,4409.05,4171.47,6377.17,3717.49
ILMN_3304136,104.394,105.418,86.755,84.4905,94.5322,94.43,100.8,116.011,101.158,90.9885
ILMN_3304149,98.0334,102.426,100.951,93.0665,90.5531,109.147,99.9655,95.1836,82.535,81.0342
ILMN_3304175,112.198,122.478,103.327,125.384,117.584,100.425,110.816,107.746,141.306,105.986
ILMN_3304195,100.232,99.0604,99.128,103.395,85.7807,96.3211,100.997,93.6376,99.7712,111.404
ILMN_3304200,97.2723,92.1034,94.9283,99.4026,100.515,87.1442,87.2049,95.6067,113.174,95.1486
ILMN_3304203,255.932,267.09,241.846,488.648,408.336,283.542,257.852,224.843,364.909,341.636
ILMN_3304219,127.59,102.412,125.238,132.537,122.729,124.777,117.648,118.786,122.286,129.42
ILMN_3304257,87.0882,118.471,89.0292,94.5381,109.41,92.917,91.8644,93.4525,105.439,85.9393
ILMN_3304396,182.104,108.305,102.451,138.828,122.907,147.182,111.119,128.564,110.47,118.977
ILMN_3304405,160.184,157.658,134.55,209.302,176.204,123.448,184.506,126.751,156.113,123.597
ILMN_3304413,100.015,102.938,83.0694,104.957,82.8476,93.8118,98.1522,89.3833,103.575,104.212
ILMN_3304421,124.943,118.823,102.989,93.9778,114.252,127.078,98.4128,109.258,99.6043,114.618
ILMN_3304435,316.809,244.531,286.019,301.598,326.927,257.852,227.964,228.019,339.522,406.076
ILMN_3304451,104.941,111.393,89.5134,93.7788,87.5354,107.586,97.6537,86.5219,103.824,81.6245
ILMN_3304505,93.8607,109.199,92.7767,117.001,119.89,98.7677,89.1086,107.556,103.416,90.5097
ILMN_3304519,7390.08,10370.3,9311.77,9123.05,7207.44,8990.08,11403.5,10994.6,9311.77,8512.58
ILMN_3304555,475.159,560.043,677.375,686.365,446.151,376.674,607.147,586.975,693.193,436.863
ILMN_3304584,99.3354,104.751,99.8106,112.026,119.883,112.137,97.6932,113.197,111.556,108.35
ILMN_3304633,99.6669,94.1934,82.4398,102.814,89.5923,107.3,95.7662,88.029,94.646,100.426
ILMN_3304670,91.152,99.6933,87.5295,90.7465,91.6614,94.6311,79.4528,99.0244,98.8555,87.2139
ILMN_3304678,105.107,129.837,116.044,99.8488,116.806,97.1432,87.2807,101.769,96.7856,121.547
ILMN_3304691,102.796,118.159,115.742,140.929,139.948,118.892,131.058,104.052,115.277,155.581
ILMN_3304725,94.2269,112.382,99.2184,92.6114,111.944,103.016,103.661,105.267,95.1031,107.35
ILMN_3304802,111.765,112.186,151.179,161.161,140.57,112.199,120.3,127.031,134.557,114.675
ILMN_3304821,112.196,134.869,116.922,116.283,93.7663,121.932,105.501,126.14,106.338,103.868
ILMN_3304850,167.583,129.053,126.825,121.812,134.62,148.152,136.735,125.861,127.53,120.552
ILMN_3304872,118.372,116.097,101.444,103.356,113.394,123.348,109.532,101.747,94.343,96.6749
ILMN_3304887,259.961,234.677,336.357,423.822,469.912,238.374,246.289,334.627,472.172,372.866
ILMN_3304898,203.074,329.605,462.572,354.167,333.401,280.434,428.183,427.793,582.141,407.911
ILMN_3304906,97.2486,117.9,120.6,102.641,115.039,101.172,143.552,147.159,125.555,108.607
ILMN_3304917,106.865,106.649,106.515,107.648,115.672,106.677,104.779,108.104,115.694,84.825
ILMN_3304941,93.0694,98.4736,106.496,90.1502,108.345,100.878,100.59,102.471,104.069,94.3788
ILMN_3304974,105.169,103.353,113.93,102.645,109.38,119.454,112.463,114.385,107.656,110.239
ILMN_3305012,103.551,98.9228,99.3091,95.9355,117.408,93.6161,99.6812,104.889,100.836,98.5463
ILMN_3305025,99.7203,96.2344,99.7384,122.903,101.57,101.623,103.787,103.791,91.2975,85.4244
ILMN_3305055,124.864,167.757,155.658,118.127,129.454,102.566,165.879,119.772,125.731,110.603
ILMN_3305074,102.322,98.0568,96.0074,99.0175,100.896,114.405,92.1718,88.8114,95.4497,87.5365
ILMN_3305111,93.9481,103.342,97.9241,93.4765,93.3098,95.6988,99.3013,88.6019,91.5724,84.4517
ILMN_3305152,95.925,103.246,121.146,103.681,98.2993,102.013,105.839,98.046,98.4011,91.5044
ILMN_3305169,5899.54,3386.01,3711.56,4630.34,6737.94,6570.22,3318.47,5305.72,4514.91,8016.32
ILMN_3305180,102.389,98.2796,108.567,95.7969,96.4791,101.18,95.6673,110.226,83.2073,98.9297
ILMN_3305261,91.1937,88.4941,95.6654,98.9279,95.7877,94.9658,90.7572,88.8816,93.9124,86.4977
ILMN_3305273,109.609,108.997,116.1,104.844,93.3783,98.2312,92.1117,103.404,83.4205,106.509
ILMN_3305304,261.225,223.997,316.809,203.333,231.71,315.987,305.836,382.15,362.865,315.332
ILMN_3305339,200.333,199.982,268.878,216.252,182.969,311.297,199.393,244.601,208.688,179.647
ILMN_3305354,109.022,103.181,97.2794,88.9496,104.061,109.22,110.399,115.024,117.512,109.711
